Customer,State,Customer_Lifetime_Value,Response,Coverage,Education,Effective_To_Date,Employment_Status,Gender,Income,Location_Code,Marital_Status
BU79786,Washington,2763.52,No,Basic,Bachelor,2/24/2011,Employed,F,56274,Suburban,Married
QZ44356,Arizona,6979.54,No,Extended,Bachelor,1/31/2011,Unemployed,F,0,Suburban,Single
AI49188,Nevada,12887.43,No,Premium,Bachelor,2/19/2011,Employed,F,48767,Suburban,Married
WW63253,California,7645.86,No,Basic,Bachelor,1/20/2011,Unemployed,M,0,Suburban,Married
HB64268,Washington,2813.69,No,Basic,Bachelor,2/3/2011,Employed,M,43836,Rural,Single
OC83172,Oregon,8256.3,Yes,Basic,Bachelor,1/25/2011,Employed,F,62902,Rural,Married
XZ87318,Oregon,5380.9,Yes,Basic,College,2/24/2011,Employed,F,55350,Suburban,Married
CF85061,Arizona,7216.1,No,Premium,Master,1/18/2011,Unemployed,M,0,Urban,Single
DY87989,Oregon,24127.5,Yes,Basic,Bachelor,1/26/2011,Medical Leave,M,14072,Suburban,Divorced
BQ94931,Oregon,7388.18,No,Extended,College,2/17/2011,Employed,F,28812,Urban,Married
SX51350,California,4738.99,No,Basic,College,2/21/2011,Unemployed,M,0,Suburban,Single
VQ65197,California,8197.2,No,Basic,College,1/6/2011,Unemployed,F,0,Suburban,Married
DP39365,California,8798.8,No,Premium,Master,2/6/2011,Employed,M,77026,Urban,Married
SJ95423,Arizona,8819.02,Yes,Basic,High School or Below,1/10/2011,Employed,M,99845,Suburban,Married
IL66569,California,5384.43,No,Basic,College,1/18/2011,Employed,M,83689,Urban,Single
BW63560,Oregon,7463.14,No,Basic,Bachelor,1/17/2011,Employed,F,24599,Rural,Married
FV94802,Nevada,2566.87,No,Basic,High School or Below,2/6/2011,Medical Leave,M,25049,Suburban,Married
OE15005,California,3945.24,No,Basic,College,1/5/2011,Medical Leave,M,28855,Suburban,Married
WC83389,Oregon,5710.33,No,Basic,College,2/27/2011,Employed,M,51148,Urban,Married
FL50705,California,8162.62,No,Premium,High School or Below,1/14/2011,Employed,F,66140,Suburban,Married
