Customer,State,Monthly_Premium_Auto,Months_Since_Last_Claim,Months_Since_Policy_Inception,Number_of_Open_Complaints,Number_of_Policies,Policy_Type,Policy,Renew_Offer_Type,Sales_Channel,Total_Claim_Amount,Vehicle_Class,Vehicle_Size
BU79786,Washington,69,32,5,0,1,Corporate Auto,Corporate L3,Offer1,Agent,384.81,Two-Door Car,Medsize
QZ44356,Arizona,94,13,42,0,8,Personal Auto,Personal L3,Offer3,Agent,1131.46,Four-Door Car,Medsize
AI49188,Nevada,108,18,38,0,2,Personal Auto,Personal L3,Offer1,Agent,566.47,Two-Door Car,Medsize
WW63253,California,106,18,65,0,7,Corporate Auto,Corporate L2,Offer1,Call Center,529.88,SUV,Medsize
HB64268,Washington,73,12,44,0,1,Personal Auto,Personal L1,Offer1,Agent,138.13,Four-Door Car,Medsize
OC83172,Oregon,69,14,94,0,2,Personal Auto,Personal L3,Offer2,Web,159.38,Two-Door Car,Medsize
XZ87318,Oregon,67,0,13,0,9,Corporate Auto,Corporate L3,Offer1,Agent,321.6,Four-Door Car,Medsize
CF85061,Arizona,101,0,68,0,4,Corporate Auto,Corporate L3,Offer1,Agent,363.03,Four-Door Car,Medsize
DY87989,Oregon,71,13,3,0,2,Corporate Auto,Corporate L3,Offer1,Agent,511.2,Four-Door Car,Medsize
BQ94931,Oregon,93,17,7,0,8,Special Auto,Special L2,Offer2,Branch,425.53,Four-Door Car,Medsize
SX51350,California,67,23,5,0,3,Personal Auto,Personal L3,Offer1,Agent,482.4,Four-Door Car,Small
VQ65197,California,110,27,87,0,3,Personal Auto,Personal L3,Offer2,Agent,528,SUV,Medsize
DP39365,California,110,9,82,2,3,Corporate Auto,Corporate L1,Offer2,Agent,472.03,Four-Door Car,Medsize
SJ95423,Arizona,110,23,25,1,8,Corporate Auto,Corporate L3,Offer2,Branch,528,SUV,Medsize
IL66569,California,70,21,10,2,8,Corporate Auto,Corporate L3,Offer4,Call Center,307.14,Four-Door Car,Medsize
BW63560,Oregon,64,12,50,1,2,Corporate Auto,Corporate L2,Offer2,Branch,42.92,Four-Door Car,Medsize
FV94802,Nevada,67,14,7,0,1,Personal Auto,Personal L3,Offer2,Call Center,454.25,Two-Door Car,Medsize
OE15005,California,101,12,59,0,1,Personal Auto,Personal L2,Offer3,Call Center,647.44,SUV,Medsize
WC83389,Oregon,72,9,1,0,7,Personal Auto,Personal L2,Offer2,Branch,308.98,Four-Door Car,Medsize
FL50705,California,101,11,21,0,3,Corporate Auto,Corporate L2,Offer1,Call Center,484.8,Four-Door Car,Small
ZK25313,Oregon,74,31,21,0,1,Personal Auto,Personal L2,Offer1,Branch,355.2,Two-Door Car,Medsize
SV62436,Washington,79,8,49,0,1,Personal Auto,Personal L3,Offer4,Call Center,379.2,Four-Door Car,Medsize
YH23384,Arizona,71,13,3,0,2,Personal Auto,Personal L3,Offer1,Agent,511.2,Four-Door Car,Medsize
TZ98966,Nevada,73,4,44,3,1,Corporate Auto,Corporate L3,Offer1,Branch,554.38,Four-Door Car,Medsize
HM55802,California,61,30,91,0,1,Corporate Auto,Corporate L2,Offer2,Branch,439.2,Four-Door Car,Medsize
FS42516,Oregon,72,22,1,0,3,Personal Auto,Personal L3,Offer2,Call Center,389.19,Four-Door Car,Large
US89481,California,111,15,47,0,1,Personal Auto,Personal L3,Offer1,Agent,799.2,Four-Door Car,Small
HO30839,Washington,139,33,64,0,1,Corporate Auto,Corporate L1,Offer1,Branch,516.24,SUV,Medsize
GE62437,Arizona,111,33,54,2,2,Personal Auto,Personal L3,Offer1,Call Center,532.8,Four-Door Car,Large
EJ77678,Oregon,80,17,44,1,1,Personal Auto,Personal L3,Offer2,Branch,384,Four-Door Car,Small
SV85652,Arizona,63,4,6,1,1,Personal Auto,Personal L2,Offer4,Call Center,322.29,Four-Door Car,Small
UL64533,Nevada,237,1,14,0,6,Corporate Auto,Corporate L2,Offer2,Agent,615.93,Luxury SUV,Medsize
PF41800,California,65,19,56,0,3,Personal Auto,Personal L3,Offer1,Call Center,308.15,Four-Door Car,Medsize
AO98601,Washington,63,28,17,0,6,Corporate Auto,Corporate L2,Offer1,Agent,302.4,Two-Door Car,Small
SK67821,Oregon,62,19,42,0,8,Corporate Auto,Corporate L1,Offer3,Web,15.44,Four-Door Car,Medsize
YV55495,Arizona,71,11,40,0,6,Personal Auto,Personal L1,Offer1,Branch,204.48,Four-Door Car,Medsize
KY38074,California,117,10,62,0,2,Personal Auto,Personal L3,Offer1,Agent,561.6,Four-Door Car,Small
DM79012,Oregon,91,19,86,0,8,Personal Auto,Personal L3,Offer2,Web,436.8,Four-Door Car,Small
CM61827,Oregon,90,7,79,0,1,Personal Auto,Personal L2,Offer3,Agent,648,Two-Door Car,Small
WC35801,Arizona,66,4,15,2,1,Personal Auto,Personal L3,Offer1,Call Center,157.4,Four-Door Car,Medsize
QG25316,Nevada,70,7,1,1,1,Corporate Auto,Corporate L3,Offer3,Call Center,484.32,Two-Door Car,Medsize
MB98372,Oregon,71,3,32,0,1,Corporate Auto,Corporate L3,Offer2,Agent,18.92,Two-Door Car,Medsize
IL19217,California,99,12,28,0,1,Personal Auto,Personal L2,Offer2,Agent,882.87,Four-Door Car,Small
SR38658,Arizona,103,15,16,0,2,Personal Auto,Personal L2,Offer4,Agent,494.4,Sports Car,Medsize
DH41343,Washington,61,15,56,0,1,Special Auto,Special L2,Offer2,Call Center,292.8,Four-Door Car,Large
HG65722,Oregon,172,5,4,3,3,Personal Auto,Personal L2,Offer1,Branch,0.52,SUV,Medsize
BU27331,Arizona,73,7,57,3,5,Personal Auto,Personal L3,Offer3,Call Center,579.17,Four-Door Car,Medsize
XM45289,Oregon,71,7,10,0,4,Personal Auto,Personal L2,Offer4,Agent,447.79,Two-Door Car,Medsize
KP34198,California,92,11,77,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,529.62,Four-Door Car,Medsize
SH90947,Arizona,62,11,56,0,1,Personal Auto,Personal L2,Offer4,Branch,313.02,Four-Door Car,Medsize
WE95729,Oregon,104,1,28,0,2,Personal Auto,Personal L2,Offer1,Agent,593.83,SUV,Small
PY51963,California,106,18,95,0,2,Corporate Auto,Corporate L1,Offer1,Web,508.8,SUV,Medsize
RB69909,Nevada,69,4,40,3,2,Special Auto,Special L1,Offer4,Branch,173.96,Four-Door Car,Medsize
XR95069,Washington,64,19,44,0,3,Personal Auto,Personal L3,Offer4,Agent,307.2,Four-Door Car,Medsize
FR46645,California,113,20,26,0,1,Personal Auto,Personal L2,Offer1,Branch,831.63,Four-Door Car,Small
SY17488,Arizona,91,1,53,0,3,Corporate Auto,Corporate L3,Offer3,Call Center,436.8,Four-Door Car,Small
AP67935,California,64,24,59,0,2,Special Auto,Special L2,Offer2,Branch,302.57,Four-Door Car,Medsize
FS37417,Arizona,101,29,12,0,1,Personal Auto,Personal L2,Offer1,Call Center,484.8,SUV,Small
